Row,dW_Coordination,dW_Cooperation
AUS,1.52803361690881,1.84352976391235
AUT,0.71651780955162,3.20590901633293
BEL,-0.335898584229843,5.19782938606417
BGR,3.93635488167074,4.04700487765144
BRA,1.86678612910522,1.0381647030949
CAN,1.72484641918262,2.76205982657189
CHE,0.431287081017473,1.99799605745969
CHN,1.59068382709793,0.434294563462112
CYP,6.44025051137846,6.23697677881074
CZE,0.627459506090733,3.26982163449159
DEU,0.527534929664175,1.91891594938183
DNK,1.67002653482793,4.11007580043095
ESP,0.921066103661894,1.6775702990252
EST,3.24114231260282,6.76428379675409
FIN,-0.0691851291335532,2.47563117345493
FRA,1.37037800789883,2.05943018853576
GBR,1.57808421295609,1.71145875789129
GRC,0.890290796583249,2.24895602712689
HRV,2.09297695424602,3.71045280470321
HUN,1.80959075333842,5.22241328178534
IDN,2.82478333474911,2.78163227614125
IND,2.08509363327556,0.832849108786138
IRL,-2.00026681827272,3.87945905661526
ITA,0.568600123321472,1.15395073021851
JPN,1.29329519601609,1.05020314610902
KOR,1.81428353278155,2.3966533776016
LTU,0.0165402600238451,4.65087527264132
LUX,1.99433631639792,4.33647515980105
LVA,3.60276228075016,5.63306797943126
MEX,2.54656332431389,2.90168071561152
MLT,2.99690685910292,5.12935534219547
NLD,1.6287411363779,5.36209771292309
NOR,0.509158461887083,2.11889596155848
POL,1.86812650334889,2.28373166912352
PRT,2.06140679182465,2.38031625908974
ROU,2.83728081387589,2.24291540131369
RUS,2.49308120777745,1.88182768712741
SVK,1.97708662624909,3.90316849063939
SVN,2.12947004262889,4.50776183751327
SWE,0.265963439824879,2.31999349582048
TUR,2.47384220238123,3.33639252185325
TWN,2.41959684141468,3.81126553011935
USA,1.48061562232042,0.711029164109722
