iso,first_best,first_best_Melitz,second_best,second_best_Melitz,third_best,third_best_Melitz
AUS,0.903890879054248,1.01390284820657,0.210090461892709,0.170257488878467,0.140529618535545,0.176275344105381
AUT,1.31150114144198,1.49500911743874,0.65749842683529,0.653058041177035,0.44618523029023,0.510799467303724
BEL,1.30882883432923,1.4065439837871,0.685098001878415,0.585035123250677,0.502129665968143,0.415528462116765
BGR,2.01426660617858,1.75985035108313,0.625904728199367,0.652128662746931,0.524542455756483,0.517707070514528
BRA,1.86926836578287,1.94205663346418,0.225892342868206,0.297156362753093,0.169102205849403,0.267551074615024
CAN,1.71608251614697,1.26579640614661,0.574482548888677,0.369785781481657,0.446761778421356,0.268727367184418
CHE,1.04374218244589,1.9321905318374,0.561729062389049,0.648194554769077,0.46431313005475,0.561889402073845
CHN,1.7602251889975,2.3865770368668,0.265309239092071,0.356469864612263,0.238713888243036,0.332416025674287
CYP,1.7466672031897,1.55305513179418,0.681828947291718,0.681428466590717,0.614223670278324,0.658668695895992
CZE,1.67952112517109,1.81085447039238,0.880814189404022,0.804649577053795,0.544276941551036,0.627732997632235
DEU,1.71165522668768,1.94918585095023,0.780190866460617,0.729818177924324,0.489993517665166,0.599664246010745
DNK,1.2211668308076,1.18960208263272,0.57995083020117,0.56054212230443,0.476741577240403,0.432390941437499
ESP,1.53490634554909,1.94118250013751,0.520731289553211,0.501734982254365,0.386161864324319,0.424424231860887
EST,1.18250094088412,1.29157539129598,0.617369621497144,0.484432738018681,0.448940617054783,0.450333498196209
FIN,1.40010798010877,1.61107287845694,0.538127429626511,0.623043323133143,0.251482316382057,0.46131927143096
FRA,1.20439640384458,1.34075583873443,0.450477710408848,0.418985794466797,0.338186156843401,0.349557259119071
GBR,1.09243743409546,1.41246399066726,0.475156560057077,0.486831414881794,0.415697850427699,0.433260014404557
GRC,1.81993788530481,1.66341510938171,0.590106021803116,0.548683391870286,0.527599748223095,0.391647369467707
HRV,1.0331970952723,1.50230598650454,0.554196954116049,0.42438600012249,0.449075339076965,0.461962406760685
HUN,2.2492972948104,1.74192642974227,1.06300909318637,0.787633856162961,0.731957733742616,0.556275331077982
IDN,1.99648181031324,1.86248938571554,0.358419713630176,0.256057655062336,0.26489708943549,0.269195739600026
IND,1.80772279164894,2.11065126960344,0.349829587903616,0.409468522788203,0.31065240597099,0.361547042843591
IRL,0.858134874782079,1.17915663123225,0.680707574525519,0.682684090819641,0.529328749136093,0.562723041857294
ITA,1.50116682297543,1.66935449651189,0.459121923206562,0.539541117014797,0.260042727456478,0.452196932069215
JPN,1.48150385735681,1.83312073639585,0.319581670399915,0.384614195358224,0.221079598140639,0.33231999099046
KOR,2.12186515301498,2.69110436009317,0.653843178906444,0.755271459815354,0.493040259234534,0.655492657235057
LTU,2.50097076530573,2.04565105401071,0.932101409728281,0.832752022757299,0.761873391309331,0.60234184347705
LUX,0.931920337897307,1.13807993402852,0.811333116685198,0.857587148900851,0.784241538369757,0.839776634275191
LVA,0.913307974836486,1.1407670215855,0.539023328559352,0.460551028080292,0.441748611285497,0.376437320958511
MEX,2.23627981275345,2.36045822192308,0.598979251173959,0.577778237821303,0.43800543277237,0.481415851053368
MLT,1.35109295549083,1.66213459765145,0.920304621366119,0.680185356901752,0.82337954601861,0.813007467199145
NLD,1.35469179456145,1.45018291351056,0.662451551329379,0.674082889086214,0.540107879985641,0.515599214171969
NOR,1.1889392990422,1.18850690532746,0.402981060717567,0.37963211743115,0.266468511925266,0.277848556390992
POL,2.1885266342452,2.19428225902605,0.759134954313101,0.74863002390797,0.651558882721637,0.649850498401272
PRT,2.03923576733351,1.80863339496757,0.740045735260075,0.601050777659085,0.651003406120165,0.516691297526384
ROU,2.04601103254642,2.15141419626441,0.769717720738261,0.783689814366517,0.674548599888913,0.69268102269171
RUS,2.393980082726,1.53677606866365,0.321341697468158,0.304887493776684,0.273547919422379,0.234470464315795
SVK,2.00916838716101,2.16778505209243,1.05916654632543,0.962754422884626,0.788299949134097,0.782838697498378
SVN,1.42274697225306,2.14519896734959,0.871785359528343,0.848559157292605,0.669130164762199,0.727742808445053
SWE,1.20650165993965,1.50093867740375,0.617035207032601,0.625085365250433,0.453280106932064,0.4898499912388
TUR,1.43345944351401,1.91159747307239,0.460547276889933,0.518778930934949,0.322141304948032,0.443387767324799
TWN,2.18181427488875,2.83905349173001,0.68976106138483,0.849693808021668,0.560129415534605,0.608538865607278
USA,1.52828688006581,1.48858033981845,0.315656174206724,0.30098294798957,0.267515392317197,0.262008780912759
